year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,prediction
2014,62200,Petrol,Dealer,Manual,First Owner,17.0,1197.0,80.0,11.4,5.0,,Hyundai,379169.9796125486
2011,35000,Petrol,Individual,Manual,First Owner,16.36,1495.0,93.7,124.6,5.0,3500,Hyundai,253808.38733489357
2011,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190.0,5.0,2000,Maruti,251419.1842800926
2010,180000,Petrol,Individual,Manual,Second Owner,19.0,998.0,67.1,90.0,5.0,3500,Maruti,200177.1517961931
2015,74000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,19002750,Hyundai,874652.1341144567
2015,20000,Petrol,Individual,Automatic,First Owner,21.9,624.0,37.48,51.0,4.0,4000,Tata,63861.04487188556
2017,40000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000,Maruti,579972.200427346
2015,100581,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,215.0,5.0,17503000,Ford,597491.9664746108
2017,40000,Diesel,Individual,Manual,Second Owner,22.0,1582.0,126.2,259.87,5.0,15003000,Hyundai,1073782.9345451954
2015,140000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,330.0,7.0,16002800,Mahindra,757323.7359600434
2014,60000,Diesel,Individual,Manual,First Owner,24.0,1120.0,70.0,160.0,5.0,15002750,Hyundai,368865.40767623216
2016,80000,Diesel,Individual,Manual,Third Owner,21.19,1396.0,88.73,219.66,5.0,15002750,Hyundai,628772.352067536
2019,5000,Diesel,Individual,Manual,First Owner,17.3,1497.0,121.0,300.0,7.0,17502500,Mahindra,1424312.6706961098
2017,50000,Diesel,Individual,Automatic,First Owner,19.6,1461.0,108.45,245.0,5.0,1750,Renault,881210.820975714
2012,138000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,20.4,8.0,14003400,Toyota,697395.7161819346
2013,60000,Petrol,Individual,Manual,Second Owner,14.09,1596.0,99.6,146.0,5.0,3400,Ford,253543.38222395175
2012,150000,Diesel,Individual,Manual,First Owner,,,,,,,Toyota,591822.6458904081
2013,120000,Petrol,Individual,Manual,Second Owner,18.0,1198.0,86.7,109.0,5.0,4500,Honda,217363.81757022452
2019,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086.0,68.0,99.0,5.0,4500,Hyundai,690289.4215266042
2012,90000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,190.0,5.0,17503000,Tata,156959.81429404567
2013,37000,Petrol,Dealer,Manual,First Owner,13.7,1399.0,98.79,131.0,7.0,4400,Chevrolet,385726.99841583055
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153.0,5.0,3800,Skoda,698050.1286091481
2012,100000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,190.0,5.0,2000,Maruti,349662.29199444514
2014,45000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135.0,5.0,2500,Tata,233582.82623132225
2011,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.7,5.0,4000,Hyundai,117992.17047771334
2014,76000,Diesel,Individual,Manual,Third Owner,24.0,1120.0,70.0,159.8,5.0,15002750,Hyundai,346064.7753142114
2017,110000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,77.0,5.0,3500,Maruti,409376.5474731856
2012,135000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195.0,7.0,14002200,Mahindra,516537.86190015567
2011,160000,Diesel,Individual,Manual,Third Owner,20.86,1199.0,75.0,180.0,5.0,2000,Skoda,231385.7344132287
2010,94000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.8,5.0,4000,Hyundai,104431.31781601289
2019,5500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,101.0,7.0,3000,Maruti,840180.0874731301
2019,5000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,110.0,5.0,4800,Honda,895218.8255641138
2014,62000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,231410.41534285538
2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197.0,80.0,11.4,5.0,,Hyundai,93871.78005294653
2019,30000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000,Maruti,869291.2211249358
2014,90000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.8,200.0,7.0,1750,Maruti,574121.6725225458
2012,88000,Petrol,Individual,Manual,First Owner,17.5,1298.0,85.8,114.0,5.0,4000,Maruti,267179.0459384145
2018,20000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91.0,5.0,4250,Renault,451075.6699389896
2012,40000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,114.0,5.0,4000,Maruti,299295.105560175
2012,190000,Diesel,Individual,Manual,Third Owner,,,,,,,Tata,150636.13425726444
2012,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7,5.0,4000,Hyundai,212210.49958845146
2011,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,135.4,5.0,2500,Tata,138298.8675843872
2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.73,132.0,5.0,3000,Toyota,830176.994747663
2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400.0,5.0,17502500,BMW,4444543.160349902
2017,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,72.0,5.0,4386,Datsun,216723.85710417223
2013,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7,5.0,4000,Hyundai,271159.3189390053
2015,90000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.73,219.66,5.0,15002750,Hyundai,573924.9065448097
2018,60000,Diesel,Individual,Manual,First Owner,22.1,1396.0,88.7,219.7,5.0,15002750,Hyundai,786304.6269236298
2008,90000,Petrol,Individual,Manual,First Owner,,,,,,,Maruti,106831.35731751891
2014,48000,Diesel,Individual,Manual,First Owner,21.7,1498.0,98.96,215.0,5.0,17502500,Ford,552948.069991516
2015,40000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130.0,7.0,4000,Maruti,530027.496186462
2018,20000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000,Maruti,658423.4328159965
2014,23000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.8,5.0,4000,Hyundai,281181.35040892166
2002,184000,Petrol,Individual,Manual,Second Owner,,,,,,,Hyundai,25318.824425799772
2014,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,15002750,Hyundai,473238.4975829718
2019,9400,Petrol,Dealer,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,901455.502477783
2006,120000,Diesel,Individual,Manual,Second Owner,14.0,2523.0,83.0,176.0,7.0,1500,Mahindra,338032.97369559744
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350.0,5.0,15002750,Volvo,2780864.189704726
2013,60000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,91672.26313946908
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110.0,5.0,4800,Honda,513996.35887639556
2016,120000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,180.4,5.0,17502500,Hyundai,497724.9473768429
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320.0,7.0,15003000,Tata,776538.0498397911
2015,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195.0,7.0,14002200,Mahindra,494851.7163648207
2015,48000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500,Maruti,278300.59159700177
2017,18300,Petrol,Individual,Manual,First Owner,17.8,1497.0,117.3,145.0,5.0,4600,Honda,848936.5120197521
2017,120000,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.8,113.0,5.0,4200,Maruti,539803.4057986538
2016,110000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,19002750,Hyundai,837094.588653803
2017,25000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,546543.1139147878
2014,105000,Diesel,Dealer,Manual,First Owner,21.7,1498.0,98.96,215.0,5.0,17502500,Ford,536390.343305971
2012,98000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,150.0,5.0,1750,Chevrolet,109503.43184551352
2018,35000,Diesel,Individual,Manual,First Owner,22.71,1461.0,84.8,200.0,5.0,2000,Nissan,754941.5350029393
2018,60000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,450.0,7.0,16002400,Toyota,2072325.3196968948
2007,70000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,28604.441377518116
2016,80000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750,Maruti,663335.7591187302
2012,163720,Diesel,Dealer,Manual,First Owner,18.5,1399.0,68.0,160.0,5.0,2000,Ford,390512.78893842327
2017,40000,Petrol,Individual,Manual,Second Owner,20.3,1199.0,84.0,114.0,5.0,3500,Tata,362248.45548597805
2017,62960,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,215.0,5.0,17503000,Ford,778784.5193905121
2019,4337,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,114.0,5.0,4000,Hyundai,926332.360708716
2015,53000,Diesel,Individual,Manual,First Owner,24.0,1120.0,70.0,160.0,5.0,15002750,Hyundai,444280.8415451438
2015,80000,Diesel,Individual,Manual,Second Owner,15.4,2179.0,120.0,280.0,7.0,18002800,Mahindra,724277.7770841161
2015,120000,Diesel,Individual,Manual,First Owner,13.0,2494.0,142.0,343.0,7.0,16002800,Toyota,1141151.3215052441
2014,65000,Diesel,Dealer,Manual,First Owner,19.09,1405.0,69.01,135.0,5.0,2500,Tata,312217.99965555675
2013,60000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,157249.2846617021
2013,100000,Diesel,Individual,Manual,First Owner,22.3,1248.0,88.8,200.0,5.0,17503000,Tata,263055.70240170066
2018,75000,Diesel,Individual,Automatic,First Owner,21.5,1498.0,108.5,250.0,5.0,15003000,Volkswagen,885233.3575921853
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,213.0,5.0,4500,Toyota,1446701.0537135203
2004,113000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,57969.53958674241
2014,50000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200,Maruti,364845.55780065653
2017,60000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000,Maruti,574073.7161838501
2014,80000,Petrol,Individual,Manual,Third Owner,16.02,1373.0,93.7,130.0,7.0,4000,Maruti,429473.41986653325
2009,125876,Petrol,Individual,Manual,Second Owner,15.0,1586.0,104.68,145.0,5.0,4.100,Maruti,141711.43253647722
2019,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,115.0,5.0,4000,Maruti,897791.4430856706
2015,110000,Diesel,Individual,Manual,Second Owner,19.1,1405.0,70.0,135.4,5.0,2500,Tata,327428.37248969835
2013,120000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,170.0,5.0,18002400,Toyota,591203.1268931113
2017,110000,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.02,190.0,5.0,2000,Maruti,524594.2504663821
2017,140000,Diesel,Individual,Manual,First Owner,14.07,2956.0,69.01,223.0,7.0,16002200,Tata,864807.5605702049
2005,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78.0,5.0,4500,Maruti,82372.4128611642
2007,70000,Petrol,Individual,Manual,Third Owner,15.9,1298.0,85.0,110.0,5.0,4500,Maruti,114546.9897882475
1995,70000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500,Maruti,175333.1498995009
2017,60000,Diesel,Individual,Automatic,Second Owner,17.01,1582.0,126.2,259.9,5.0,19002750,Hyundai,1009847.2730019062
2006,120000,Diesel,Individual,Manual,First Owner,,,,,,,Mahindra,182819.33079234255
2013,100000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190.0,5.0,2000,Maruti,331218.3845575552
2017,100000,Diesel,Individual,Manual,Second Owner,16.5,1493.0,70.0,195.0,7.0,14002200,Mahindra,577881.7363151512
2017,31000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.97,190.25,5.0,17502250,Hyundai,576649.8410522506
2017,26000,Petrol,Individual,Automatic,First Owner,18.0,1497.0,117.3,145.0,5.0,4600,Honda,852023.0260932691
2013,80000,Petrol,Individual,Manual,Second Owner,15.1,1196.0,73.0,101.0,5.0,3000,Maruti,260342.06148980046
2011,90000,Petrol,Individual,Manual,Third Owner,17.0,1197.0,80.0,11.4,5.0,,Hyundai,129358.00376779621
2018,20000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,628021.7523345596
2018,10000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,72.0,5.0,4386,Datsun,280527.9252754662
2012,80000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,118517.39526684745
2008,100000,Diesel,Individual,Manual,Second Owner,11.5,1991.0,147.9,320.0,7.0,2000,Chevrolet,508944.3218125907
2010,148000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,135.0,5.0,2500,Tata,122116.58090107283
2009,90000,Petrol,Individual,Manual,Second Owner,0.0,1086.0,62.0,96.1,5.0,3000,Hyundai,235142.76233959838
2016,50000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200,Maruti,515871.90371861577
2013,90000,Diesel,Individual,Manual,Second Owner,19.4,1405.0,70.0,135.4,5.0,2500,Tata,161548.80264453765
2012,215000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,290.0,7.0,18002800,Mahindra,307848.373727054
2017,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,90.0,5.0,3500,Maruti,464865.39056121267
2012,87000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200.0,7.0,1750,Maruti,463330.7837462186
2012,120000,Diesel,Individual,Manual,Second Owner,21.03,1461.0,65.0,160.0,5.0,2000,Mahindra,217212.7964313503
2017,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,7.0,1750,Maruti,747850.3918073334
2011,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190.0,5.0,2000,Maruti,272467.6946726374
2017,60000,Diesel,Individual,Manual,Second Owner,16.5,1493.0,70.0,195.0,7.0,14002200,Mahindra,533436.7195503707
2011,175000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,290968.2583974579
2012,40000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,190.0,5.0,17503000,Tata,148025.4335904898
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,867638.554281068
2019,40000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,5.0,4200,Maruti,843339.2538922201
2012,30000,Petrol,Individual,Manual,First Owner,17.5,1298.0,85.8,114.0,5.0,4000,Maruti,294228.6652459728
2011,160000,Diesel,Individual,Manual,Second Owner,,,,,,,Maruti,279212.03527747095
2018,39000,Diesel,Dealer,Manual,First Owner,28.4,1248.0,74.0,190.0,5.0,2000,Maruti,722805.6426573726
2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,104.0,5.0,4000,Datsun,281186.57303195214
2019,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400.0,5.0,,Volvo,3552723.914826143
2005,53563,Petrol,Dealer,Manual,Second Owner,,,,,,,Hyundai,136920.56854700984
2013,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,5.0,3500,Maruti,112516.4054212526
2018,70000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,170.0,5.0,17504000,Tata,659160.4045705505
2019,6000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,120.0,5.0,4250,Ford,916031.5730590906
2004,60000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,-41359.29321898869
2014,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,330.0,7.0,16002800,Mahindra,731421.9453605663
2011,181000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,343.0,7.0,14003400,Toyota,816219.584254951
2009,100000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,190.0,5.0,2000,Maruti,255422.41990643693
2014,50000,Petrol,Individual,Manual,Third Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,192079.43619163416
2017,63982,Diesel,Dealer,Manual,First Owner,22.7,1498.0,89.84,204.0,5.0,20002750,Ford,714907.4255058165
2011,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000,Maruti,307627.2255273449
2012,48000,CNG,Individual,Manual,First Owner,13.2,1495.0,93.7,124.5,5.0,3500,Hyundai,307787.41450854443
2016,39000,Diesel,Dealer,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,19002750,Hyundai,1121887.8088862207
2011,90000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000,Maruti,294144.1523199675
2003,90000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,12.5,5.0,3.500,Hyundai,28553.913596712402
2007,147500,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,20.4,7.0,14003400,Toyota,586836.7854288449
2008,60000,Diesel,Individual,Manual,Second Owner,12.8,1995.0,52.0,106.0,5.0,2200,Ambassador,89968.693680119
2016,90000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135.0,5.0,2500,Tata,420288.619893263
2017,80000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,112.0,5.0,4000,Ford,500480.90750303154
2004,150000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,,Mahindra,337319.15316890244
2017,25000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,5.0,2000,Maruti,600920.8387396659
2004,93415,Diesel,Dealer,Manual,First Owner,13.1,2499.0,141.0,330.0,7.0,1800,Ford,603567.7649001209
2019,15000,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.0,190.0,5.0,2000,Maruti,837496.5612110001
2010,106000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,111.7,5.0,4000,Hyundai,112399.55407176714
2013,70000,Diesel,Individual,Manual,Second Owner,22.07,1199.0,73.9,180.0,5.0,2000,Volkswagen,243460.3532062514
2015,90000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,408229.1555204704
2016,71000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,240.0,7.0,16002800,Mahindra,724901.3723872012
2006,100000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,12.7,5.0,2.700,Honda,53741.74415416713
2017,31000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,354640.70200465043
2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000,Hyundai,544775.0316699716
2006,93000,Petrol,Individual,Manual,Second Owner,16.1,1197.0,85.0,113.0,5.0,4.500,Maruti,167782.84502402903
2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320.0,7.0,15003000,Tata,1082086.4148549559
2017,90000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750,Maruti,696107.8292750476
2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,430.0,5.0,17502500,Jaguar,2895399.0287520424
2015,75000,Diesel,Individual,Manual,First Owner,14.07,2956.0,69.01,223.0,7.0,16002200,Tata,585580.5688987429
2010,120000,Petrol,Individual,Manual,Third Owner,15.6,1196.0,70.0,102.0,5.0,4000,Ford,113339.83722044982
2012,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195.0,7.0,14002200,Mahindra,305238.19869326224
2013,300000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,260.0,8.0,,Mahindra,344473.14970048354
2017,20000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000,Hyundai,342693.4619107226
2010,70000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,99.04,5.0,4500,Hyundai,77049.93502932054
2010,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498.0,99.23,215.0,5.0,17503000,Ford,352671.90396316955
2008,70000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,37187.289458326995
2017,28000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,114.0,5.0,3500,Tata,344058.9512839044
2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,113.0,5.0,4500,Maruti,293532.37342448137
2018,15000,Petrol,Dealer,Manual,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,708557.4157791889
2015,150546,Petrol,Dealer,Manual,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,436136.84281521017
2019,20000,CNG,Individual,Manual,First Owner,32.26,998.0,58.3,78.0,4.0,3500,Maruti,561176.5989243222
2016,82000,Petrol,Individual,Manual,Third Owner,18.5,1197.0,85.8,114.0,5.0,4000,Maruti,511571.12944448064
2005,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,20.4,8.0,14003400,Toyota,624904.5847205627
2019,40000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,200.0,5.0,1750,Honda,1070679.048511134
2014,50000,Diesel,Individual,Manual,First Owner,13.58,2499.0,72.4,171.0,9.0,1800,Chevrolet,350040.1603336764
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,5.0,4200,Maruti,867638.554281068
2019,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400.0,5.0,17502500,BMW,4437400.063354107
2013,32000,Petrol,Individual,Manual,First Owner,16.8,1497.0,116.3,146.0,5.0,4800,Honda,533717.3126007894
2012,111000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,244644.01941730443
2014,132000,Diesel,Dealer,Manual,Second Owner,22.7,1498.0,89.84,204.0,5.0,20002750,Ford,430609.6046770622
2013,46000,Petrol,Individual,Manual,First Owner,18.2,1199.0,84.8,113.0,5.0,5000,Chevrolet,199972.4686847753
2014,50000,Petrol,Individual,Manual,First Owner,18.6,1197.0,85.8,114.0,5.0,4000,Maruti,405179.70867538545
2011,375000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,20.4,8.0,14003400,Toyota,581106.3389503756
2012,80000,Diesel,Individual,Manual,Second Owner,,,,,,,Tata,164381.6246414755
2017,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.97,190.24,5.0,17502250,Hyundai,652947.4940121691
2017,25000,Petrol,Individual,Manual,Second Owner,24.7,796.0,47.3,69.0,5.0,3500,Maruti,264077.2715053521
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430.0,5.0,17502500,Jaguar,2803572.0808945936
2018,12000,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,247.0,6.0,18002000,Mahindra,939079.1793132802
2016,100000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,140.0,5.0,18003000,Tata,315736.07036520576
2012,35000,Diesel,Individual,Manual,Second Owner,23.03,1396.0,69.0,140.0,5.0,18003000,Tata,59695.62209583365
2006,264000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,20.4,8.0,14003400,Toyota,583527.0827301871
2012,80000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,259.8,5.0,19002750,Hyundai,635868.5597803708
2018,13000,Petrol,Individual,Manual,First Owner,20.4,1194.0,94.93,120.0,5.0,4250,Ford,696574.2047255652
2018,44000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,101.0,7.0,3000,Maruti,653482.6361782667
2013,70000,Petrol,Individual,Manual,Second Owner,18.6,1199.0,79.4,108.0,5.0,4400,Chevrolet,120329.0609399433
2010,55000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,99.04,5.0,4500,Hyundai,69479.93014560558
2018,75000,Diesel,Individual,Automatic,First Owner,21.5,1498.0,108.5,250.0,5.0,15003000,Volkswagen,885233.3575921853
2014,60000,Petrol,Individual,Manual,Second Owner,20.92,998.0,67.1,90.0,5.0,3500,Maruti,258055.49366537342
2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,5.0,2000,Maruti,567188.4021639945
2014,46000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,81.86,113.75,5.0,4000,Hyundai,305167.29873203835
2014,90000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,200.0,5.0,1750,Maruti,443542.60900624166
